,REF_DATE,VALUE
0,1981-01-01,16.7
1,1981-01-01,18.7
2,1981-01-01,19.4
3,1981-01-01,19.8
4,1981-01-01,20.3
5,1981-01-01,20.7
6,1981-01-01,22.6
7,1981-01-01,24.8
8,1981-01-01,25.3
9,1981-01-01,26.0
10,1981-01-01,26.6
11,1981-01-01,27.0
12,1981-01-01,27.8
13,1981-01-01,28.0
14,1981-01-01,28.3
15,1981-01-01,28.5
16,1981-01-01,29.3
17,1981-01-01,30.0
18,1981-01-01,30.1
19,1981-01-01,30.3
20,1981-01-01,30.4
21,1981-01-01,30.6
22,1981-01-01,30.8
23,1981-01-01,31.4
24,1981-01-01,31.8
25,1981-01-01,32.5
26,1981-01-01,32.6
27,1981-01-01,32.7
28,1981-01-01,33.0
29,1981-01-01,34.0
30,1981-01-01,34.9
31,1981-01-01,35.6
32,1981-01-01,35.8
33,1981-01-01,36.1
34,1981-01-01,36.5
35,1981-01-01,37.5
36,1981-01-01,38.0
37,1981-01-01,38.2
38,1981-01-01,39.1
39,1981-01-01,39.9
40,1981-01-01,40.6
41,1981-01-01,43.4
42,1981-01-01,46.0
43,1981-01-01,47.5
44,1981-01-01,50.5
45,1981-01-01,51.0
46,1981-01-01,51.4
47,1981-01-01,54.6
48,1981-01-01,54.7
49,1981-01-01,55.9
50,1981-01-01,61.2
51,1981-01-01,61.4
52,1981-01-01,64.9
53,1981-01-01,83.5
54,1981-01-01,90.5
55,1981-01-01,96.1
56,1981-01-01,128.7
57,1981-01-01,206.8
58,1981-02-01,17.1
59,1981-02-01,18.7
60,1981-02-01,19.6
61,1981-02-01,20.2
62,1981-02-01,20.3
63,1981-02-01,20.7
64,1981-02-01,21.2
65,1981-02-01,23.2
66,1981-02-01,24.9
67,1981-02-01,25.5
68,1981-02-01,26.0
69,1981-02-01,26.9
70,1981-02-01,27.5
71,1981-02-01,28.1
72,1981-02-01,28.5
73,1981-02-01,28.6
74,1981-02-01,28.8
75,1981-02-01,29.7
76,1981-02-01,30.2
77,1981-02-01,30.4
78,1981-02-01,30.5
79,1981-02-01,30.6
80,1981-02-01,30.8
81,1981-02-01,31.8
82,1981-02-01,32.3
83,1981-02-01,32.5
84,1981-02-01,32.6
85,1981-02-01,32.9
86,1981-02-01,33.0
87,1981-02-01,34.1
88,1981-02-01,35.4
89,1981-02-01,35.6
90,1981-02-01,35.8
91,1981-02-01,36.1
92,1981-02-01,36.2
93,1981-02-01,36.5
94,1981-02-01,36.8
95,1981-02-01,37.5
96,1981-02-01,38.0
97,1981-02-01,38.7
98,1981-02-01,39.3
99,1981-02-01,39.9
100,1981-02-01,41.0
101,1981-02-01,43.5
102,1981-02-01,46.0
103,1981-02-01,47.5
104,1981-02-01,50.9
105,1981-02-01,51.4
106,1981-02-01,52.1
107,1981-02-01,55.4
108,1981-02-01,55.6
109,1981-02-01,56.2
110,1981-02-01,61.2
111,1981-02-01,62.1
112,1981-02-01,64.9
113,1981-02-01,85.3
114,1981-02-01,92.2
115,1981-02-01,97.5
116,1981-02-01,130.1
117,1981-02-01,209.1
118,1981-03-01,17.5
119,1981-03-01,18.7
120,1981-03-01,19.6
121,1981-03-01,20.6
122,1981-03-01,21.0
123,1981-03-01,21.5
124,1981-03-01,24.8
125,1981-03-01,25.3
126,1981-03-01,25.8
127,1981-03-01,26.0
128,1981-03-01,27.3
129,1981-03-01,28.2
130,1981-03-01,28.6
131,1981-03-01,29.0
132,1981-03-01,29.8
133,1981-03-01,30.3
134,1981-03-01,30.5
135,1981-03-01,30.6
136,1981-03-01,30.7
137,1981-03-01,30.8
138,1981-03-01,31.8
139,1981-03-01,31.9
140,1981-03-01,32.5
141,1981-03-01,32.8
142,1981-03-01,32.9
143,1981-03-01,33.4
144,1981-03-01,33.6
145,1981-03-01,34.2
146,1981-03-01,35.4
147,1981-03-01,35.6
148,1981-03-01,36.1
149,1981-03-01,36.2
150,1981-03-01,36.4
151,1981-03-01,36.8
152,1981-03-01,37.3
153,1981-03-01,37.5
154,1981-03-01,38.0
155,1981-03-01,39.3
156,1981-03-01,39.5
157,1981-03-01,40.6
158,1981-03-01,41.1
159,1981-03-01,43.5
160,1981-03-01,46.0
161,1981-03-01,47.5
162,1981-03-01,50.9
163,1981-03-01,51.4
164,1981-03-01,52.1
165,1981-03-01,55.4
166,1981-03-01,55.6
167,1981-03-01,56.2
168,1981-03-01,60.7
169,1981-03-01,62.1
170,1981-03-01,64.1
171,1981-03-01,85.3
172,1981-03-01,92.2
173,1981-03-01,97.5
174,1981-03-01,130.8
175,1981-03-01,210.6
176,1981-04-01,17.8
177,1981-04-01,18.9
178,1981-04-01,19.8
179,1981-04-01,20.9
180,1981-04-01,21.0
181,1981-04-01,21.3
182,1981-04-01,22.4
183,1981-04-01,25.6
184,1981-04-01,26.5
185,1981-04-01,26.7
186,1981-04-01,27.4
187,1981-04-01,27.6
188,1981-04-01,28.6
189,1981-04-01,29.3
190,1981-04-01,30.1
191,1981-04-01,30.5
192,1981-04-01,30.8
193,1981-04-01,31.0
194,1981-04-01,31.1
195,1981-04-01,31.2
196,1981-04-01,31.8
197,1981-04-01,32.0
198,1981-04-01,32.5
199,1981-04-01,32.9
200,1981-04-01,33.3
201,1981-04-01,33.7
202,1981-04-01,34.6
203,1981-04-01,35.6
204,1981-04-01,35.7
205,1981-04-01,36.1
206,1981-04-01,36.2
207,1981-04-01,36.9
208,1981-04-01,37.3
209,1981-04-01,37.5
210,1981-04-01,38.0
211,1981-04-01,38.1
212,1981-04-01,39.9
213,1981-04-01,40.0
214,1981-04-01,40.6
215,1981-04-01,41.2
216,1981-04-01,43.5
217,1981-04-01,46.3
218,1981-04-01,47.5
219,1981-04-01,50.9
220,1981-04-01,51.6
221,1981-04-01,53.7
222,1981-04-01,56.2
223,1981-04-01,56.9
224,1981-04-01,57.0
225,1981-04-01,60.6
226,1981-04-01,62.1
227,1981-04-01,63.9
228,1981-04-01,84.2
229,1981-04-01,91.8
230,1981-04-01,97.7
231,1981-04-01,130.8
232,1981-04-01,210.6
233,1981-05-01,17.8
234,1981-05-01,18.9
235,1981-05-01,19.8
236,1981-05-01,21.2
237,1981-05-01,21.3
238,1981-05-01,21.9
239,1981-05-01,23.1
240,1981-05-01,26.4
241,1981-05-01,26.7
242,1981-05-01,27.6
243,1981-05-01,27.7
244,1981-05-01,27.9
245,1981-05-01,28.6
246,1981-05-01,28.9
247,1981-05-01,29.7
248,1981-05-01,30.1
249,1981-05-01,31.0
250,1981-05-01,31.1
251,1981-05-01,31.4
252,1981-05-01,31.9
253,1981-05-01,32.3
254,1981-05-01,32.5
255,1981-05-01,32.6
256,1981-05-01,32.7
257,1981-05-01,33.3
258,1981-05-01,33.6
259,1981-05-01,34.3
260,1981-05-01,34.6
261,1981-05-01,34.8
262,1981-05-01,35.6
263,1981-05-01,36.1
264,1981-05-01,36.4
265,1981-05-01,37.3
266,1981-05-01,37.7
267,1981-05-01,38.0
268,1981-05-01,38.2
269,1981-05-01,38.9
270,1981-05-01,40.1
271,1981-05-01,40.6
272,1981-05-01,40.8
273,1981-05-01,41.5
274,1981-05-01,43.5
275,1981-05-01,47.5
276,1981-05-01,50.2
277,1981-05-01,51.6
278,1981-05-01,52.1
279,1981-05-01,53.7
280,1981-05-01,56.9
281,1981-05-01,57.0
282,1981-05-01,57.2
283,1981-05-01,60.6
284,1981-05-01,63.3
285,1981-05-01,63.9
286,1981-05-01,84.2
287,1981-05-01,91.8
288,1981-05-01,97.7
289,1981-05-01,132.5
290,1981-05-01,212.4
291,1981-06-01,17.8
292,1981-06-01,19.0
293,1981-06-01,20.0
294,1981-06-01,21.2
295,1981-06-01,21.7
296,1981-06-01,21.9
297,1981-06-01,23.1
298,1981-06-01,26.6
299,1981-06-01,27.1
300,1981-06-01,27.6
301,1981-06-01,27.7
302,1981-06-01,28.4
303,1981-06-01,29.1
304,1981-06-01,29.2
305,1981-06-01,30.0
306,1981-06-01,30.6
307,1981-06-01,31.2
308,1981-06-01,31.4
309,1981-06-01,31.5
310,1981-06-01,31.8
311,1981-06-01,31.9
312,1981-06-01,32.3
313,1981-06-01,32.5
314,1981-06-01,32.7
315,1981-06-01,33.5
316,1981-06-01,33.6
317,1981-06-01,34.8
318,1981-06-01,34.9
319,1981-06-01,35.0
320,1981-06-01,35.6
321,1981-06-01,36.1
322,1981-06-01,36.4
323,1981-06-01,37.4
324,1981-06-01,37.7
325,1981-06-01,38.0
326,1981-06-01,38.4
327,1981-06-01,39.1
328,1981-06-01,40.1
329,1981-06-01,40.8
330,1981-06-01,41.6
331,1981-06-01,43.7
332,1981-06-01,47.5
333,1981-06-01,50.2
334,1981-06-01,51.6
335,1981-06-01,52.9
