,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
87,1981-01,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,26.6,
88,1981-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,29.3,
89,1981-01,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,18.7,E
93,1981-01,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,19.8,
94,1981-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,20.7,
95,1981-01,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,16.7,E
96,1981-01,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,33.0,
97,1981-01,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,35.8,
98,1981-01,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,26.0,E
207,1981-02,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,26.9,
208,1981-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,29.7,
209,1981-02,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,18.7,E
213,1981-02,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,20.2,
214,1981-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,21.2,
215,1981-02,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,17.1,E
216,1981-02,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,33.0,
217,1981-02,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,35.8,
218,1981-02,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,26.0,E
327,1981-03,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,27.3,
328,1981-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,30.3,
329,1981-03,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,18.7,E
333,1981-03,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,20.6,
334,1981-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,21.5,
335,1981-03,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,17.5,E
336,1981-03,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,33.4,
337,1981-03,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,36.4,
338,1981-03,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,26.0,E
447,1981-04,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,27.4,
448,1981-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,30.5,
