,DATE,St_JOHNS,QUEBEC,OTTAWA,VICTORIA,REGINA,EDMONTON,HALIFAX,WINNIPEG
0,1981-01,37.5,34.9,30.8,206.8,20.7,36.5,,29.3
1,1981-02,37.5,35.4,30.8,209.1,21.2,36.8,,29.7
2,1981-03,37.5,35.4,31.9,210.6,21.5,36.8,,30.3
3,1981-04,37.5,35.7,32.0,210.6,22.4,36.9,,30.5
4,1981-05,37.7,36.1,32.7,212.4,23.1,38.2,,31.1
5,1981-06,37.7,36.1,33.5,210.6,23.1,38.4,,31.8
6,1981-07,37.7,36.2,33.5,206.2,23.1,38.4,,32.0
7,1981-08,37.8,36.6,33.9,206.2,23.3,38.8,,32.9
8,1981-09,37.8,36.6,33.9,200.8,23.3,38.8,,32.9
9,1981-10,37.8,36.6,33.9,200.6,23.3,38.8,,32.9
10,1981-11,38.5,36.8,35.2,198.5,23.3,39.1,,32.9
11,1981-12,38.5,36.8,35.2,204.2,23.3,39.1,,33.6
12,1982-01,38.0,37.3,36.0,204.2,23.3,39.3,,33.6
13,1982-02,38.0,37.8,36.2,193.1,23.5,39.7,,33.6
14,1982-03,38.0,37.8,36.1,184.9,23.5,39.3,,33.8
15,1982-04,37.3,37.9,36.3,180.1,23.5,38.8,,33.9
16,1982-05,37.3,38.0,36.3,181.6,23.5,36.9,,33.9
17,1982-06,37.3,38.1,36.3,179.9,23.5,36.6,,33.9
18,1982-07,37.3,38.1,36.3,181.1,23.5,36.5,,33.9
19,1982-08,37.3,38.5,36.3,182.7,23.5,36.2,,34.2
20,1982-09,37.3,38.9,36.3,186.7,23.5,36.0,,34.2
21,1982-10,37.3,38.9,37.0,186.7,23.5,35.7,,34.0
22,1982-11,37.3,39.0,37.2,185.3,23.3,35.2,,34.0
23,1982-12,37.3,39.1,37.3,184.5,23.3,35.1,,33.6
24,1983-01,37.3,39.5,37.3,185.5,23.3,36.4,,33.6
25,1983-02,37.3,39.8,37.8,185.5,23.6,35.7,,33.6
26,1983-03,37.3,39.8,38.2,183.2,23.6,35.7,,33.6
27,1983-04,37.3,40.1,38.8,183.2,23.6,35.6,,33.8
28,1983-05,37.3,40.8,38.8,183.2,23.8,35.4,,33.7
29,1983-06,36.8,41.2,38.8,186.5,23.8,35.4,,33.7
30,1983-07,36.8,41.4,38.8,187.3,23.8,35.3,,34.3
31,1983-08,38.2,42.0,40.0,187.3,24.0,35.6,,34.3
32,1983-09,38.2,42.0,40.1,189.1,24.0,35.6,,34.6
33,1983-10,38.2,42.1,41.2,187.8,24.0,35.6,,34.6
34,1983-11,38.2,42.2,41.7,187.8,24.0,35.9,,34.6
35,1983-12,38.1,42.2,41.8,185.8,24.0,36.0,,34.6
36,1984-01,38.1,42.2,41.9,185.2,24.3,35.2,,34.6
37,1984-02,38.0,42.5,42.9,185.3,24.3,35.1,,34.8
38,1984-03,38.1,42.5,43.0,187.6,24.3,34.9,,35.1
39,1984-04,38.1,42.6,44.0,187.6,24.1,34.9,,35.0
40,1984-05,38.3,42.8,44.1,186.5,23.5,34.1,47.4,35.1
41,1984-06,38.9,42.9,43.9,185.2,23.5,33.7,47.8,35.1
42,1984-07,38.9,43.1,43.3,182.1,23.3,33.1,47.9,35.1
43,1984-08,38.9,43.5,43.4,177.2,22.6,33.0,47.9,35.4
44,1984-09,38.9,43.7,42.6,175.8,22.7,33.0,47.9,35.4
45,1984-10,38.9,43.7,42.4,172.6,22.9,33.0,48.7,35.4
46,1984-11,38.9,43.7,42.5,175.0,22.9,32.0,48.9,35.4
47,1984-12,39.3,43.8,42.7,175.0,22.9,32.0,48.8,35.4
48,1985-01,38.9,44.1,43.0,175.2,22.8,32.2,49.4,35.9
49,1985-02,39.0,44.3,42.7,175.2,22.8,31.3,49.6,36.0
50,1985-03,39.0,44.6,42.8,174.7,23.0,31.2,49.6,36.5
51,1985-04,39.0,44.6,42.8,174.0,23.1,31.2,49.4,36.5
52,1985-05,39.0,44.7,42.1,169.9,23.1,31.3,49.4,36.5
53,1985-06,39.0,45.0,42.1,167.7,23.3,31.3,49.6,36.7
54,1985-07,39.0,45.1,41.7,165.5,23.3,31.4,49.6,36.8
55,1985-08,39.2,45.4,41.7,164.5,23.5,31.8,49.6,36.9
56,1985-09,39.2,45.4,42.1,165.2,23.5,31.9,49.8,37.2
57,1985-10,39.2,45.7,42.3,166.2,23.6,32.2,49.9,37.2
58,1985-11,39.2,46.0,42.3,165.8,23.6,32.3,50.5,37.2
59,1985-12,39.2,46.0,42.3,163.7,23.6,32.3,50.4,37.3
60,1986-01,39.4,40.3,42.5,160.3,23.6,33.4,50.2,37.7
61,1986-02,39.6,40.5,42.7,161.3,24.0,34.1,50.2,37.9
62,1986-03,39.6,40.8,42.7,161.9,24.0,34.2,50.2,38.1
63,1986-04,39.8,41.1,43.0,160.4,24.0,34.2,50.6,38.6
64,1986-05,40.0,41.2,43.1,160.4,24.1,34.3,50.1,38.7
65,1986-06,40.0,41.4,43.2,158.5,24.1,34.5,50.1,38.8
66,1986-07,40.2,41.6,43.4,157.0,24.1,34.5,50.1,38.8
67,1986-08,40.6,42.2,43.4,154.0,24.2,34.6,50.3,39.2
68,1986-09,40.6,42.8,43.6,152.6,24.3,34.7,50.5,39.3
69,1986-10,40.5,43.2,43.8,150.3,24.4,34.8,50.5,39.3
70,1986-11,40.6,43.9,44.0,146.8,24.7,34.8,50.9,39.5
71,1986-12,40.6,44.1,44.0,143.7,24.7,34.9,51.0,39.7
72,1987-01,40.6,44.8,44.5,143.7,24.7,34.9,51.0,39.7
73,1987-02,41.5,45.3,44.6,145.2,24.8,35.3,51.1,40.2
74,1987-03,41.7,46.2,44.7,146.5,24.8,35.4,51.1,40.4
75,1987-04,41.7,46.8,45.1,146.5,24.8,35.5,51.1,40.6
76,1987-05,41.8,47.2,45.5,146.5,24.8,35.5,51.9,40.4
77,1987-06,41.8,47.5,45.7,146.5,25.2,35.5,52.1,40.4
78,1987-07,42.0,47.7,45.8,147.5,25.1,35.7,52.1,40.4
79,1987-08,42.2,48.3,45.8,149.6,25.1,36.0,52.2,40.4
80,1987-09,42.2,48.8,45.9,149.3,25.1,36.2,52.5,40.7
81,1987-10,42.2,49.0,46.2,150.3,25.1,36.4,52.5,40.6
82,1987-11,42.3,49.4,46.3,150.8,25.2,36.3,52.7,40.6
83,1987-12,42.3,49.6,46.4,150.8,25.2,36.4,52.7,40.6
84,1988-01,42.3,50.1,46.5,155.5,25.2,36.6,52.7,40.6
85,1988-02,42.3,50.3,47.1,154.5,25.2,36.6,53.3,40.8
86,1988-03,42.3,50.8,47.1,154.7,25.3,36.9,53.5,40.7
87,1988-04,42.3,51.1,47.6,155.2,25.4,37.0,53.5,40.7
88,1988-05,42.6,51.6,47.9,155.5,25.5,37.1,53.7,40.5
89,1988-06,42.6,51.6,47.9,155.5,25.3,37.1,53.7,40.5
90,1988-07,42.6,51.6,47.9,156.3,25.3,37.2,53.7,40.5
91,1988-08,43.2,51.9,48.0,156.3,25.3,37.3,53.7,40.5
92,1988-09,43.4,52.1,48.2,158.5,25.3,37.3,54.4,40.6
93,1988-10,43.7,52.3,48.2,157.7,25.3,37.3,54.4,40.6
94,1988-11,43.9,52.4,48.5,157.7,25.2,37.6,54.5,40.5
95,1988-12,43.9,52.6,48.7,159.5,25.2,37.6,54.5,40.3
96,1989-01,44.0,52.6,49.0,164.2,25.2,37.7,54.7,40.2
97,1989-02,45.1,52.7,49.4,165.5,25.3,38.2,54.8,40.1
98,1989-03,45.2,53.0,49.5,167.5,25.3,38.4,54.8,40.0
99,1989-04,45.2,53.0,49.6,168.3,25.2,38.4,54.8,39.9
100,1989-05,45.6,53.5,49.8,167.7,25.4,38.6,54.6,39.9
101,1989-06,45.6,53.6,50.4,167.0,25.4,38.8,54.5,39.9
102,1989-07,45.6,53.5,50.4,167.5,25.6,38.9,54.5,39.9
103,1989-08,45.6,53.6,50.1,167.8,25.6,39.1,54.5,40.1
104,1989-09,47.1,53.8,50.0,167.5,25.8,39.4,54.5,40.3
105,1989-10,47.1,53.9,50.5,170.9,25.8,40.0,54.5,40.4
106,1989-11,47.1,54.2,50.8,171.6,25.8,40.5,54.5,40.4
