REF_DATE,GEO,DGUID,Coordinate,Long-form data quality indicators – Housing characteristics (20):Tenure - Non-response rate[1],Symbol,Long-form data quality indicators – Housing characteristics (20):Tenure - Imputation rate[2],Symbol,Long-form data quality indicators – Housing characteristics (20):Condominium status - Non-response rate[3],Symbol,Long-form data quality indicators – Housing characteristics (20):Condominium status - Imputation rate[4],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of rooms - Non-response rate[5],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of rooms - Imputation rate[6],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of bedrooms - Non-response rate[7],Symbol,Long-form data quality indicators – Housing characteristics (20):Number of bedrooms - Imputation rate[8],Symbol,Long-form data quality indicators – Housing characteristics (20):Period of construction - Non-response rate[9],Symbol,Long-form data quality indicators – Housing characteristics (20):Period of construction - Imputation rate[10],Symbol,Long-form data quality indicators – Housing characteristics (20):Dwelling condition - Non-response rate[11],Symbol,Long-form data quality indicators – Housing characteristics (20):Dwelling condition - Imputation rate[12],Symbol,Long-form data quality indicators – Housing characteristics (20):Rent monthly cash - Non-response rate[13],Symbol,Long-form data quality indicators – Housing characteristics (20):Rent monthly cash - Imputation rate[14],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly mortgage payments - Non-response rate[15],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly mortgage payments - Imputation rate[16],Symbol,Long-form data quality indicators – Housing characteristics (20):Value (owner estimated) - Non-response rate[17],Symbol,Long-form data quality indicators – Housing characteristics (20):Value (owner estimated) - Imputation rate[18],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly use or occupancy payment for dwelling - Non-response rate[19],Symbol,Long-form data quality indicators – Housing characteristics (20):Monthly use or occupancy payment for dwelling - Imputation rate[20],Symbol
2021,Canada,2021A000011124,1,3.0,,2.8,,3.0,,2.4,,2.9,,5.0,,2.9,,3.2,,3.7,,3.7,,2.9,,2.9,,5.3,,5.4,,4.9,,5.0,,5.9,,7.1,,44.5,,44.8,
2021,Newfoundland and Labrador,2021A000210,2,2.4,,2.1,,2.3,,2.1,,2.2,,4.5,,2.2,,2.5,,2.8,,2.8,,2.3,,2.3,,4.6,,4.9,,4.0,,4.1,,5.0,,5.7,,52.7,,52.7,
2021,"St. John's (CMA), N.L.",2021S0503001,3,2.0,,1.7,,1.8,,1.6,,1.8,,4.8,,1.7,,2.0,,2.4,,2.4,,1.8,,1.8,,4.1,,4.4,,3.2,,3.3,,3.7,,4.5,,0.0,,0.0,
2021,Holyrood (1001472) T,2021A00051001472,4,2.5,,2.5,,2.5,,2.5,,2.5,,4.5,,2.5,,2.5,,3.5,,3.5,,2.5,,2.5,,0.0,,0.0,,7.8,,7.8,,7.8,,9.0,,0.0,,0.0,
2021,Conception Bay South (1001485) T,2021A00051001485,5,1.9,,1.7,,1.9,,1.9,,1.8,,3.8,,1.7,,1.9,,2.0,,2.0,,1.9,,1.9,,5.0,,5.5,,3.5,,3.6,,3.9,,4.9,,0.0,,0.0,
2021,Portugal Cove-St. Philip's (1001504) T,2021A00051001504,6,1.7,,1.6,,2.1,,1.6,,1.6,,2.7,,1.6,,1.7,,1.7,,1.7,,1.7,,1.7,,0.0,,0.0,,3.9,,3.9,,4.6,,5.4,,0.0,,0.0,
2021,Pouch Cove (1001505) T,2021A00051001505,7,1.8,,1.2,,1.8,,0.0,,1.2,,1.8,,1.2,,1.2,,1.8,,1.8,,0.0,,0.0,,0.0,,0.0,,3.4,,3.4,,4.8,,5.4,,0.0,,0.0,
2021,Flatrock (1001507) T,2021A00051001507,8,3.1,,3.1,,3.1,,3.1,,3.8,,5.3,,3.8,,3.8,,3.8,,3.8,,3.1,,3.1,,0.0,,0.0,,4.1,,4.1,,4.1,,5.0,,0.0,,0.0,
2021,Torbay (1001509) T,2021A00051001509,9,2.0,,1.8,,2.0,,1.7,,1.8,,4.4,,1.8,,2.2,,3.2,,3.2,,2.0,,2.0,,7.6,,7.6,,2.6,,2.6,,3.5,,4.1,,0.0,,0.0,
2021,Logy Bay-Middle Cove-Outer Cove (1001511) T,2021A00051001511,10,1.1,,1.1,,1.1,,1.1,,2.2,,3.4,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,0.0,,0.0,,0.0,,0.0,,3.1,,4.3,,0.0,,0.0,
2021,Bauline (1001512) T,2021A00051001512,11,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,Paradise (1001517) T,2021A00051001517,12,1.5,,1.2,,1.4,,1.4,,1.3,,3.7,,1.3,,1.5,,1.4,,1.4,,1.3,,1.3,,2.1,,2.1,,2.2,,2.5,,2.7,,3.4,,0.0,,0.0,
2021,St. John's (1001519) CY,2021A00051001519,13,2.1,,1.7,,1.9,,1.5,,1.9,,5.5,,1.8,,2.1,,2.6,,2.6,,1.9,,1.9,,4.2,,4.4,,3.2,,3.3,,3.8,,4.4,,0.0,,0.0,
2021,Mount Pearl (1001542) CY,2021A00051001542,14,1.8,,1.5,,1.7,,1.5,,1.6,,5.3,,1.6,,1.8,,2.2,,2.2,,1.7,,1.7,,4.9,,5.0,,3.0,,3.3,,3.5,,4.4,,0.0,,0.0,
2021,Petty Harbour-Maddox Cove (1001551) T,2021A00051001551,15,3.7,,3.7,,3.7,,3.7,,4.9,,8.5,,4.9,,4.9,,6.1,,6.1,,4.8,,4.8,,0.0,,0.0,,4.2,,4.2,,6.9,,6.9,,0.0,,0.0,
2021,Bay Bulls (1001557) T,2021A00051001557,16,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.9,,2.9,,3.8,,3.8,,0.0,,0.0,
2021,Witless Bay (1001559) T,2021A00051001559,17,3.3,,3.3,,3.3,,4.1,,3.3,,4.1,,3.3,,3.3,,3.3,,3.3,,3.3,,3.3,,0.0,,0.0,,5.1,,5.1,,5.9,,5.9,,0.0,,0.0,
